SciName,campaign,year,season,unit,subunit,site,point_name,habitat,lon,lat,date,time,rad_0_20,rad_20_100,rad_100_250,rad_over_250,protocol,monitors_name,comment_weather,comment_disturbances,notes,record_id,total_count,weather_desc,wind,precipitation,temperature,clouds,disturbances,pilot,agriculture,settlements,dunes,land_use,interaction,protocol.version,established,SPECIES_CODE,count_under_250
Streptopelia turtur,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 1a,NA,35.24128,30.69099,18/05/2012 00:00,NA,1,0,2,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,eutdov,3
Argya squamiceps,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 1a,NA,35.24128,30.69099,18/05/2012 00:00,NA,2,0,0,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,arabab1,2
Ammomanes deserti,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 2,NA,35.24548,30.69631,18/05/2012 00:00,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,deslar1,1
Oenanthe melanura,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 2,NA,35.24548,30.69631,18/05/2012 00:00,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,blacks1,2
Iduna pallida,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 2,NA,35.24548,30.69631,18/05/2012 00:00,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,eaowar1,1
Scotocerca inquieta,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 2,NA,35.24548,30.69631,18/05/2012 00:00,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,stswar1,1
Streptopelia decaocto,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 2,NA,35.24548,30.69631,18/05/2012 00:00,NA,0,0,2,5,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,eucdov,2
Argya squamiceps,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 2,NA,35.24548,30.69631,18/05/2012 00:00,NA,3,1,0,0,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,arabab1,4
Apus apus,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 3a,NA,35.25089,30.69903,18/05/2012 00:00,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,comswi,2
Oenanthe melanura,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 3a,NA,35.25089,30.69903,18/05/2012 00:00,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,blacks1,2
Iduna pallida,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 3a,NA,35.25089,30.69903,18/05/2012 00:00,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,eaowar1,1
Merops apiaster,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 3a,NA,35.25089,30.69903,18/05/2012 00:00,NA,0,0,0,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,eubeat1,0
Merops cyanophrys,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 3a,NA,35.25089,30.69903,18/05/2012 00:00,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,grnbee2,1
Streptopelia decaocto,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 3a,NA,35.25089,30.69903,18/05/2012 00:00,NA,0,0,0,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,eucdov,0
Ardeola ralloides,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 1,NA,35.24735,30.68603,18/05/2012 00:00,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,squher1,1
Iduna pallida,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 1,NA,35.24735,30.68603,18/05/2012 00:00,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,eaowar1,1
Hirundo rustica,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 1,NA,35.24735,30.68603,18/05/2012 00:00,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,barswa,1
Lanius nubicus,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 1,NA,35.24735,30.68603,18/05/2012 00:00,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,masshr1,2
Motacilla flava,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 1,NA,35.24735,30.68603,18/05/2012 00:00,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,eaywag1,1
Pycnonotus xanthopygos,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 1,NA,35.24735,30.68603,18/05/2012 00:00,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,whsbul1,1
Scotocerca inquieta,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 1,NA,35.24735,30.68603,18/05/2012 00:00,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,stswar1,1
Spilopelia senegalensis,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 1,NA,35.24735,30.68603,18/05/2012 00:00,NA,0,3,0,0,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,laudov1,3
Streptopelia decaocto,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 1,NA,35.24735,30.68603,18/05/2012 00:00,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,eucdov,2
Sylvia atricapilla,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 1,NA,35.24735,30.68603,18/05/2012 00:00,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,blackc1,1
Sylvia borin,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 1,NA,35.24735,30.68603,18/05/2012 00:00,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,garwar1,1
Ammoperdix heyi,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 2,NA,35.2517,30.68876,18/05/2012 00:00,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,sanpar1,1
Cercotrichas galactotes,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 2,NA,35.2517,30.68876,18/05/2012 00:00,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,rutscr1,1
Iduna pallida,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 2,NA,35.2517,30.68876,18/05/2012 00:00,NA,0,2,0,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,eaowar1,2
Passer domesticus,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 2,NA,35.2517,30.68876,18/05/2012 00:00,NA,0,5,0,5,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,houspa,5
Pycnonotus xanthopygos,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 2,NA,35.2517,30.68876,18/05/2012 00:00,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,whsbul1,2
Rhodospiza obsoleta,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 2,NA,35.2517,30.68876,18/05/2012 00:00,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,desfin2,2
Streptopelia decaocto,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 2,NA,35.2517,30.68876,18/05/2012 00:00,NA,0,0,2,4,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,eucdov,2
Ammomanes deserti,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 3,NA,35.25628,30.6923,18/05/2012 00:00,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,deslar1,2
Corvus ruficollis,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 3,NA,35.25628,30.6923,18/05/2012 00:00,NA,0,2,0,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,brnrav1,2
Galerida cristata,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 3,NA,35.25628,30.6923,18/05/2012 00:00,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,crelar1,1
Hirundo rustica,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 3,NA,35.25628,30.6923,18/05/2012 00:00,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,barswa,1
Lanius nubicus,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 3,NA,35.25628,30.6923,18/05/2012 00:00,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,masshr1,1
Merops apiaster,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 3,NA,35.25628,30.6923,18/05/2012 00:00,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,eubeat1,1
Passer hispaniolensis,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 3,NA,35.25628,30.6923,18/05/2012 00:00,NA,0,0,10,0,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,spaspa1,10
Pycnonotus xanthopygos,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 3,NA,35.25628,30.6923,18/05/2012 00:00,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,whsbul1,1
Spilopelia senegalensis,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 3,NA,35.25628,30.6923,18/05/2012 00:00,NA,0,0,4,0,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,laudov1,4
Streptopelia decaocto,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 3,NA,35.25628,30.6923,18/05/2012 00:00,NA,0,7,5,0,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,eucdov,12
Streptopelia turtur,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Near 3,NA,35.25628,30.6923,18/05/2012 00:00,NA,0,4,11,0,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,eutdov,15
Ammomanes deserti,T0,2012,Spring,Arid South,NA,Paran,Paran Far 1a,NA,35.18205,30.3445,18/05/2012 00:00,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,deslar1,1
Oenanthe melanura,T0,2012,Spring,Arid South,NA,Paran,Paran Far 1a,NA,35.18205,30.3445,18/05/2012 00:00,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,blacks1,1
Corvus ruficollis,T0,2012,Spring,Arid South,NA,Paran,Paran Far 1a,NA,35.18205,30.3445,18/05/2012 00:00,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,brnrav1,0
Iduna pallida,T0,2012,Spring,Arid South,NA,Paran,Paran Far 1a,NA,35.18205,30.3445,18/05/2012 00:00,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,eaowar1,2
Lanius nubicus,T0,2012,Spring,Arid South,NA,Paran,Paran Far 1a,NA,35.18205,30.3445,18/05/2012 00:00,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,masshr1,1
Streptopelia decaocto,T0,2012,Spring,Arid South,NA,Paran,Paran Far 1a,NA,35.18205,30.3445,18/05/2012 00:00,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,eucdov,2
Oenanthe melanura,T0,2012,Spring,Arid South,NA,Paran,Paran Far 2a,NA,35.1393,30.35209,18/05/2012 00:00,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,blacks1,1
Iduna pallida,T0,2012,Spring,Arid South,NA,Paran,Paran Far 2a,NA,35.1393,30.35209,18/05/2012 00:00,NA,0,2,3,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,eaowar1,5
Streptopelia decaocto,T0,2012,Spring,Arid South,NA,Paran,Paran Far 2a,NA,35.1393,30.35209,18/05/2012 00:00,NA,0,0,2,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,eucdov,2
Ammomanes deserti,T0,2012,Spring,Arid South,NA,Paran,Paran Far 3,NA,35.11834,30.36369,18/05/2012 00:00,NA,0,1,1,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,deslar1,2
Corvus ruficollis,T0,2012,Spring,Arid South,NA,Paran,Paran Far 3,NA,35.11834,30.36369,18/05/2012 00:00,NA,0,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,brnrav1,0
Galerida cristata,T0,2012,Spring,Arid South,NA,Paran,Paran Far 3,NA,35.11834,30.36369,18/05/2012 00:00,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,crelar1,1
Ptyonoprogne fuligula,T0,2012,Spring,Arid South,NA,Paran,Paran Far 3,NA,35.11834,30.36369,18/05/2012 00:00,NA,0,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,rocmar2,0
Streptopelia decaocto,T0,2012,Spring,Arid South,NA,Paran,Paran Far 3,NA,35.11834,30.36369,18/05/2012 00:00,NA,0,0,3,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,eucdov,3
Corvus ruficollis,T0,2012,Spring,Arid South,NA,Paran,Paran Near 4,NA,35.16642,30.36083,18/05/2012 00:00,NA,0,0,6,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,brnrav1,6
Lanius nubicus,T0,2012,Spring,Arid South,NA,Paran,Paran Near 4,NA,35.16642,30.36083,18/05/2012 00:00,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,masshr1,1
Passer domesticus,T0,2012,Spring,Arid South,NA,Paran,Paran Near 4,NA,35.16642,30.36083,18/05/2012 00:00,NA,2,0,0,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,houspa,2
Riparia riparia,T0,2012,Spring,Arid South,NA,Paran,Paran Near 4,NA,35.16642,30.36083,18/05/2012 00:00,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,banswa,1
Streptopelia decaocto,T0,2012,Spring,Arid South,NA,Paran,Paran Near 4,NA,35.16642,30.36083,18/05/2012 00:00,NA,0,2,2,0,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,eucdov,4
Streptopelia turtur,T0,2012,Spring,Arid South,NA,Paran,Paran Near 4,NA,35.16642,30.36083,18/05/2012 00:00,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,eutdov,1
Corvus ruficollis,T0,2012,Spring,Arid South,NA,Paran,Paran Near 5,NA,35.18311,30.35962,18/05/2012 00:00,NA,0,0,0,20,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,brnrav1,0
Cercotrichas galactotes,T0,2012,Spring,Arid South,NA,Paran,Paran Near 5,NA,35.18311,30.35962,18/05/2012 00:00,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,rutscr1,1
Iduna pallida,T0,2012,Spring,Arid South,NA,Paran,Paran Near 5,NA,35.18311,30.35962,18/05/2012 00:00,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,eaowar1,1
Hirundo rustica,T0,2012,Spring,Arid South,NA,Paran,Paran Near 5,NA,35.18311,30.35962,18/05/2012 00:00,NA,0,0,0,10,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,barswa,0
Neophron percnopterus,T0,2012,Spring,Arid South,NA,Paran,Paran Near 5,NA,35.18311,30.35962,18/05/2012 00:00,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,egyvul1,0
Passer domesticus,T0,2012,Spring,Arid South,NA,Paran,Paran Near 5,NA,35.18311,30.35962,18/05/2012 00:00,NA,0,2,5,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,houspa,7
Pycnonotus xanthopygos,T0,2012,Spring,Arid South,NA,Paran,Paran Near 5,NA,35.18311,30.35962,18/05/2012 00:00,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,whsbul1,1
Riparia riparia,T0,2012,Spring,Arid South,NA,Paran,Paran Near 5,NA,35.18311,30.35962,18/05/2012 00:00,NA,0,0,0,10,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,banswa,0
Streptopelia decaocto,T0,2012,Spring,Arid South,NA,Paran,Paran Near 5,NA,35.18311,30.35962,18/05/2012 00:00,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,eucdov,2
Streptopelia turtur,T0,2012,Spring,Arid South,NA,Paran,Paran Near 5,NA,35.18311,30.35962,18/05/2012 00:00,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,eutdov,1
Bucanetes githagineus,T0,2012,Spring,Arid South,NA,Paran,Paran Near 6,NA,35.13288,30.36423,18/05/2012 00:00,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,trufin2,2
Corvus ruficollis,T0,2012,Spring,Arid South,NA,Paran,Paran Near 6,NA,35.13288,30.36423,18/05/2012 00:00,NA,0,0,1,6,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,brnrav1,1
Galerida cristata,T0,2012,Spring,Arid South,NA,Paran,Paran Near 6,NA,35.13288,30.36423,18/05/2012 00:00,NA,0,2,0,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,crelar1,2
Hirundo rustica,T0,2012,Spring,Arid South,NA,Paran,Paran Near 6,NA,35.13288,30.36423,18/05/2012 00:00,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,barswa,1
Merops apiaster,T0,2012,Spring,Arid South,NA,Paran,Paran Near 6,NA,35.13288,30.36423,18/05/2012 00:00,NA,0,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,eubeat1,0
Spilopelia senegalensis,T0,2012,Spring,Arid South,NA,Paran,Paran Near 6,NA,35.13288,30.36423,18/05/2012 00:00,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,laudov1,2
Sylvia atricapilla,T0,2012,Spring,Arid South,NA,Paran,Paran Near 6,NA,35.13288,30.36423,18/05/2012 00:00,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Near,NA,NA,NA,,NA,NA,blackc1,1
Corvus ruficollis,T0,2012,Spring,Arid South,NA,Samar,Samar Far 4,NA,35.01208,29.83699,19/05/2012 00:00,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,brnrav1,2
