SciName,campaign,year,season,unit,subunit,site,point_name,habitat,orig_lon,orig_lat,date,time,rad_0_20,rad_20_100,rad_100_250,rad_over_250,protocol,monitors_name,comment_weather,comment_disturbances,notes,record_id,total_count,weather_desc,wind,precipitation,temperature,clouds,disturbances,pilot,agriculture,settlements,dunes,land_use,interaction,protocol.version,established,SPECIES_CODE,count_under_250,latitude,longitude
Argya squamiceps,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,21/04/2020 03:00,10:08:40,3,0,0,0,A,Eyal Shochat,,,מקיפים אותי בטווח זרוע,88.0,3,,,,,,,False,Far,,,,,,,arabab1,3,30.69168,35.24664
Ammomanes deserti,T0,2012,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1a,,35.24128,30.69099,18/05/2012 00:00,,1,1,0,0,,,,,,,2,,,,,,,True,Far,,,,,,,deslar1,2,30.69099,35.24128
Ammoperdix heyi,T0,2012,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1a,,35.24128,30.69099,18/05/2012 00:00,,0,1,0,0,,,,,,,1,,,,,,,True,Far,,,,,,,sanpar1,1,30.69099,35.24128
Cuculus canorus,T0,2012,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1a,,35.24128,30.69099,18/05/2012 00:00,,0,0,0,1,,,,,,,1,,,,,,,True,Far,,,,,,,comcuc,0,30.69099,35.24128
Falco peregrinus pelegrinoides,T0,2012,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1a,,35.24128,30.69099,18/05/2012 00:00,,0,1,0,0,,,,,,,1,,,,,,,True,Far,,,,,,,barfal1,1,30.69099,35.24128
Iduna pallida,T0,2012,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1a,,35.24128,30.69099,18/05/2012 00:00,,2,2,0,0,,,,,,,4,,,,,,,True,Far,,,,,,,eaowar1,4,30.69099,35.24128
Lanius nubicus,T0,2012,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1a,,35.24128,30.69099,18/05/2012 00:00,,1,0,0,0,,,,,,,1,,,,,,,True,Far,,,,,,,masshr1,1,30.69099,35.24128
Merops cyanophrys,T0,2012,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1a,,35.24128,30.69099,18/05/2012 00:00,,0,2,0,0,,,,,,,2,,,,,,,True,Far,,,,,,,grnbee2,2,30.69099,35.24128
Riparia riparia,T0,2012,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1a,,35.24128,30.69099,18/05/2012 00:00,,0,1,0,0,,,,,,,1,,,,,,,True,Far,,,,,,,banswa,1,30.69099,35.24128
Scotocerca inquieta,T0,2012,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1a,,35.24128,30.69099,18/05/2012 00:00,,1,1,0,0,,,,,,,2,,,,,,,True,Far,,,,,,,stswar1,2,30.69099,35.24128
Streptopelia decaocto,T0,2012,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1a,,35.24128,30.69099,18/05/2012 00:00,,2,6,6,0,,,,,,,14,,,,,,,True,Far,,,,,,,eucdov,14,30.69099,35.24128
Streptopelia turtur,T0,2012,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1a,,35.24128,30.69099,18/05/2012 00:00,,1,0,2,3,,,,,,,6,,,,,,,True,Far,,,,,,,eutdov,3,30.69099,35.24128
Argya squamiceps,T0,2012,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1a,,35.24128,30.69099,18/05/2012 00:00,,2,0,0,0,,,,,,,2,,,,,,,True,Far,,,,,,,arabab1,2,30.69099,35.24128
Ammomanes deserti,T0,2012,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,18/05/2012 00:00,,0,0,1,0,,,,,,,1,,,,,,,True,Far,,,,,,,deslar1,1,30.6966,35.24557
Oenanthe melanura,T0,2012,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,18/05/2012 00:00,,0,1,1,0,,,,,,,2,,,,,,,True,Far,,,,,,,blacks1,2,30.6966,35.24557
Iduna pallida,T0,2012,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,18/05/2012 00:00,,1,0,0,0,,,,,,,1,,,,,,,True,Far,,,,,,,eaowar1,1,30.6966,35.24557
Scotocerca inquieta,T0,2012,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,18/05/2012 00:00,,0,0,1,0,,,,,,,1,,,,,,,True,Far,,,,,,,stswar1,1,30.6966,35.24557
Streptopelia decaocto,T0,2012,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,18/05/2012 00:00,,0,0,2,5,,,,,,,7,,,,,,,True,Far,,,,,,,eucdov,2,30.6966,35.24557
Argya squamiceps,T0,2012,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,18/05/2012 00:00,,3,1,0,0,,,,,,,4,,,,,,,True,Far,,,,,,,arabab1,4,30.6966,35.24557
Oenanthe melanura,T0,2014,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,27/05/2014 00:00,,0,0,1,0,,,,,,,1,,,,,,,False,Far,,,,,,,blacks1,1,30.6966,35.24557
Merops cyanophrys,T0,2014,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,27/05/2014 00:00,,2,1,0,0,,,,,,,3,,,,,,,False,Far,,,,,,,grnbee2,3,30.6966,35.24557
Pycnonotus xanthopygos,T0,2014,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,27/05/2014 00:00,,0,0,2,0,,,,,,,2,,,,,,,False,Far,,,,,,,whsbul1,2,30.6966,35.24557
Streptopelia decaocto,T0,2014,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,27/05/2014 00:00,,0,2,3,2,,,,,,,7,,,,,,,False,Far,,,,,,,eucdov,5,30.6966,35.24557
Ammoperdix heyi,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,19/04/2016 00:00,07:50:00,0,0,1,0,,,,,,,1,,,,,,,False,Far,,,,,,,sanpar1,1,30.6966,35.24557
Anthus trivialis,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,19/04/2016 00:00,07:50:00,0,1,0,0,,,,,,,1,,,,,,,False,Far,,,,,,,trepip,1,30.6966,35.24557
Oenanthe melanura,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,19/04/2016 00:00,07:50:00,0,0,2,0,,,,,,,2,,,,,,,False,Far,,,,,,,blacks1,2,30.6966,35.24557
Hirundo rustica,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,19/04/2016 00:00,07:50:00,0,1,0,0,,,,,,,1,,,,,,,False,Far,,,,,,,barswa,1,30.6966,35.24557
Muscicapa striata,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,19/04/2016 00:00,07:50:00,0,1,0,0,,,,,,,1,,,,,,,False,Far,,,,,,,spofly1,1,30.6966,35.24557
Scotocerca inquieta,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,19/04/2016 00:00,07:50:00,0,0,1,0,,,,,,,1,,,,,,,False,Far,,,,,,,stswar1,1,30.6966,35.24557
Scotocerca inquieta,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,19/04/2016 00:00,07:50:00,0,0,1,0,,,,,,,1,,,,,,,False,Far,,,,,,,stswar1,1,30.6966,35.24557
Streptopelia turtur,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,19/04/2016 00:00,07:50:00,0,0,2,2,,,,,,,4,,,,,,,False,Far,,,,,,,eutdov,2,30.6966,35.24557
Streptopelia turtur,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,19/04/2016 00:00,07:50:00,0,0,0,2,,,,,,,2,,,,,,,False,Far,,,,,,,eutdov,0,30.6966,35.24557
Ammomanes deserti,T2,2018,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,21/04/2018 00:00,08:31:00,0,0,1,0,A,,,,,,1,,,,,,,False,Far,,,,,,,deslar1,1,30.6966,35.24557
Columba livia,T2,2018,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,21/04/2018 00:00,08:31:00,0,2,0,0,A,,,,,,2,,,,,,,False,Far,,,,,,,rocpig,2,30.6966,35.24557
Iduna pallida,T2,2018,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,21/04/2018 00:00,08:31:00,1,0,0,0,A,,,,,,1,,,,,,,False,Far,,,,,,,eaowar1,1,30.6966,35.24557
Pycnonotus xanthopygos,T2,2018,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,21/04/2018 00:00,08:31:00,0,0,1,0,A,,,,,,1,,,,,,,False,Far,,,,,,,whsbul1,1,30.6966,35.24557
Streptopelia decaocto,T2,2018,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,21/04/2018 00:00,08:31:00,0,2,0,1,A,,,,,,3,,,,,,,False,Far,,,,,,,eucdov,2,30.6966,35.24557
Streptopelia decaocto,T2,2018,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,21/04/2018 00:00,08:31:00,0,0,2,3,B,,,,,,5,,,,,,,False,Far,,,,,,,eucdov,2,30.6966,35.24557
Sylvia atricapilla,T2,2018,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,21/04/2018 00:00,08:31:00,1,0,0,1,B,,,,,,2,,,,,,,False,Far,,,,,,,blackc1,1,30.6966,35.24557
Ammomanes deserti,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,21/04/2020 03:00,10:24:40,0,1,0,0,A,Eyal Shochat,,,,136.0,1,,,,,,,False,Far,,,,,,,deslar1,1,30.6966,35.24557
Oenanthe melanura,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,21/04/2020 03:00,10:24:40,0,1,1,0,A,Eyal Shochat,,,,136.0,2,,,,,,,False,Far,,,,,,,blacks1,2,30.6966,35.24557
Lanius nubicus,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,21/04/2020 03:00,10:24:40,1,0,0,0,A,Eyal Shochat,,,,136.0,1,,,,,,,False,Far,,,,,,,masshr1,1,30.6966,35.24557
Merops cyanophrys,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,21/04/2020 03:00,10:24:40,0,0,1,0,B,Eyal Shochat,,,,136.0,1,,,,,,,False,Far,,,,,,,grnbee2,1,30.6966,35.24557
Passer domesticus,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,21/04/2020 03:00,10:24:40,0,1,4,0,B,Eyal Shochat,,,הרבעיה במעוף,136.0,5,,,,,,,False,Far,,,,,,,houspa,5,30.6966,35.24557
Pycnonotus xanthopygos,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,21/04/2020 03:00,10:24:40,0,0,1,0,A,Eyal Shochat,,,,136.0,1,,,,,,,False,Far,,,,,,,whsbul1,1,30.6966,35.24557
Scotocerca inquieta,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,21/04/2020 03:00,10:24:40,0,1,0,0,A,Eyal Shochat,,,,136.0,1,,,,,,,False,Far,,,,,,,stswar1,1,30.6966,35.24557
Streptopelia decaocto,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,21/04/2020 03:00,10:24:40,0,0,1,3,A,Eyal Shochat,,,,136.0,4,,,,,,,False,Far,,,,,,,eucdov,1,30.6966,35.24557
Streptopelia decaocto,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,21/04/2020 03:00,10:24:40,0,1,0,0,B,Eyal Shochat,,,,136.0,1,,,,,,,False,Far,,,,,,,eucdov,1,30.6966,35.24557
Sylvia atricapilla,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 2,,35.24557,30.6966,21/04/2020 03:00,10:24:40,0,1,0,0,A,Eyal Shochat,,,,136.0,1,,,,,,,False,Far,,,,,,,blackc1,1,30.6966,35.24557
Ammomanes deserti,T0,2014,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,27/05/2014 00:00,,0,0,0,2,,,,,,,2,,,,,,,False,Far,,,,,,,deslar1,0,30.6969,35.25442
Streptopelia decaocto,T0,2014,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,27/05/2014 00:00,,0,2,1,1,,,,,,,4,,,,,,,False,Far,,,,,,,eucdov,3,30.6969,35.25442
Argya squamiceps,T0,2014,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,27/05/2014 00:00,,0,4,0,0,,,,,,,4,,,,,,,False,Far,,,,,,,arabab1,4,30.6969,35.25442
Ammomanes deserti,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,19/04/2016 00:00,08:47:00,0,0,1,0,,,,,,,1,,,,,,,False,Far,,,,,,,deslar1,1,30.6969,35.25442
Hirundo rustica,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,19/04/2016 00:00,08:47:00,0,1,0,0,,,,,,,1,,,,,,,False,Far,,,,,,,barswa,1,30.6969,35.25442
Lanius excubitor,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,19/04/2016 00:00,08:47:00,0,1,0,0,,,,,,,1,,,,,,,False,Far,,,,,,,norshr1,1,30.6969,35.25442
Pycnonotus xanthopygos,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,19/04/2016 00:00,08:47:00,0,2,0,0,,,,,,,2,,,,,,,False,Far,,,,,,,whsbul1,2,30.6969,35.25442
Scotocerca inquieta,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,19/04/2016 00:00,08:47:00,0,1,0,0,,,,,,,1,,,,,,,False,Far,,,,,,,stswar1,1,30.6969,35.25442
Scotocerca inquieta,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,19/04/2016 00:00,08:47:00,0,2,0,0,,,,,,,2,,,,,,,False,Far,,,,,,,stswar1,2,30.6969,35.25442
Streptopelia decaocto,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,19/04/2016 00:00,08:47:00,2,2,2,0,,,,,,,6,,,,,,,False,Far,,,,,,,eucdov,6,30.6969,35.25442
Streptopelia decaocto,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,19/04/2016 00:00,08:47:00,0,0,0,3,,,,,,,3,,,,,,,False,Far,,,,,,,eucdov,0,30.6969,35.25442
Sylvia atricapilla,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,19/04/2016 00:00,08:47:00,0,1,0,0,,,,,,,1,,,,,,,False,Far,,,,,,,blackc1,1,30.6969,35.25442
Curruca crassirostris,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,19/04/2016 00:00,08:47:00,0,1,0,0,,,,,,,1,,,,,,,False,Far,,,,,,,eaowar2,1,30.6969,35.25442
Curruca curruca,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,19/04/2016 00:00,08:47:00,2,0,0,0,,,,,,,2,,,,,,,False,Far,,,,,,,leswhi4,2,30.6969,35.25442
Ammomanes deserti,T2,2018,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,21/04/2018 00:00,08:51:00,0,0,1,0,B,,,,,,1,,,,,,,False,Far,,,,,,,deslar1,1,30.6969,35.25442
Ammoperdix heyi,T2,2018,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,21/04/2018 00:00,08:51:00,0,0,1,0,B,,,,,,1,,,,,,,False,Far,,,,,,,sanpar1,1,30.6969,35.25442
Hirundo rustica,T2,2018,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,21/04/2018 00:00,08:51:00,0,1,0,0,A,,,,בתעופה,,1,,,,,,,False,Far,,,,,,,barswa,1,30.6969,35.25442
Lanius excubitor,T2,2018,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,21/04/2018 00:00,08:51:00,0,0,2,0,A,,,,,,2,,,,,,,False,Far,,,,,,,norshr1,2,30.6969,35.25442
Streptopelia decaocto,T2,2018,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,21/04/2018 00:00,08:51:00,1,1,0,2,A,,,,,,4,,,,,,,False,Far,,,,,,,eucdov,2,30.6969,35.25442
Streptopelia decaocto,T2,2018,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,21/04/2018 00:00,08:51:00,0,1,0,1,B,,,,,,2,,,,,,,False,Far,,,,,,,eucdov,1,30.6969,35.25442
Ammomanes deserti,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,21/04/2020 03:00,09:10:40,0,0,0,1,A,Eyal Shochat,,,,78.0,1,,,,,,,False,Far,,,,,,,deslar1,0,30.6969,35.25442
Anthus campestris,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,21/04/2020 03:00,09:10:40,0,0,1,0,A,Eyal Shochat,,,,78.0,1,,,,,,,False,Far,,,,,,,tawpip1,1,30.6969,35.25442
Hirundo rustica,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,21/04/2020 03:00,09:10:40,0,0,4,2,A,Eyal Shochat,,,בנדידה צפונה,78.0,6,,,,,,,False,Far,,,,,,,barswa,4,30.6969,35.25442
Lanius excubitor,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,21/04/2020 03:00,09:10:40,0,0,1,0,A,Eyal Shochat,,,,78.0,1,,,,,,,False,Far,,,,,,,norshr1,1,30.6969,35.25442
Merops apiaster,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 3,,35.25442,30.6969,21/04/2020 03:00,09:10:40,0,0,0,2,B,Eyal Shochat,,,קולות בנדידה צפונה,78.0,2,,,,,,,False,Far,,,,,,,eubeat1,0,30.6969,35.25442
